gene_name	class_type	count	probes
BRDT	class2	8	{'cg00308185', 'cg08172037', 'cg13299824', 'cg09250199', 'cg01081438', 'cg00307685', 'cg02935097', 'cg03136151'}
ITGB3BP	class1	5	{'cg20683799', 'cg21877855', 'cg18464559', 'cg12748849', 'cg23641677'}
ITGB3BP	class2	9	{'cg17903549', 'cg12796332', 'cg18643958', 'cg01796208', 'cg00308434', 'cg19767339', 'cg20994490', 'cg21501001', 'cg07160589'}
TGFBR3	class1	5	{'cg23113350', 'cg00563926', 'cg08848903', 'cg19846193', 'cg07557690'}
TGFBR3	class2	37	{'cg01081930', 'cg11855117', 'cg23721586', 'cg13078798', 'cg24928141', 'cg10324998', 'cg25204077', 'cg10012640', 'cg21116284', 'cg01002341', 'cg17074704', 'cg09838042', 'cg26659853', 'cg08648138', 'cg24879809', 'cg17080882', 'cg26542412', 'cg15326069', 'cg23636324', 'cg03006077', 'cg02061431', 'cg19756345', 'cg21382567', 'cg00342358', 'cg03003526', 'cg16382382', 'cg25285383', 'cg00857921', 'cg25769732', 'cg17074213', 'cg13178170', 'cg17284082', 'cg17468459', 'cg18539768', 'cg01336162', 'cg09790580', 'cg00308438'}
C1orf109	class1	8	{'cg03714163', 'cg16580496', 'cg27170260', 'cg22449745', 'cg24088508', 'cg14522793', 'cg12339802', 'cg06917450'}
C1orf109	class2	16	{'cg06639121', 'cg16688500', 'cg22501998', 'cg14170840', 'cg13197285', 'cg07997689', 'cg11338033', 'cg16926734', 'cg26649834', 'cg21933021', 'cg14654194', 'cg00308767', 'cg24547046', 'cg03989610', 'cg01933946', 'cg13213419'}
RGL1	class1	7	{'cg18174052', 'cg04972433', 'cg09735598', 'cg10811340', 'cg27155653', 'cg12737363', 'cg26018965'}
RGL1	class2	43	{'cg04621654', 'cg20384240', 'cg11519238', 'cg09684066', 'cg08233467', 'cg18877213', 'cg19264170', 'cg02051562', 'cg13951632', 'cg12425286', 'cg11422551', 'cg23889610', 'cg04982190', 'cg25021590', 'cg26564172', 'cg03125090', 'cg11678039', 'cg04023434', 'cg09888186', 'cg19018435', 'cg10120056', 'cg12702671', 'cg08546856', 'cg12725906', 'cg16056272', 'cg01850505', 'cg06849459', 'cg19767650', 'cg26057754', 'cg20579480', 'cg22400420', 'cg18126943', 'cg03467001', 'cg23040305', 'cg23961843', 'cg11505048', 'cg03612333', 'cg26883161', 'cg06915270', 'cg19300655', 'cg00308770', 'cg22340762', 'cg21108215'}
EXO1	class1	12	{'cg07639959', 'cg04158730', 'cg15084467', 'cg03292648', 'cg20629097', 'cg17423498', 'cg21919602', 'cg00309178', 'cg24741598', 'cg17736920', 'cg06713297', 'cg12401425'}
EXO1	class2	7	{'cg11837910', 'cg04706276', 'cg16121177', 'ch.1.4812384F', 'cg03116938', 'cg16357661', 'cg22022181'}
SPAG17	class1	5	{'cg16240368', 'cg05808356', 'cg00570000', 'cg07921474', 'cg09497789'}
SPAG17	class2	10	{'cg26100099', 'cg04500239', 'cg23257935', 'cg26516680', 'cg02152120', 'cg01105494', 'cg00310968', 'cg03850057', 'cg12435551', 'cg02623200'}
RCAN3	class1	8	{'cg11257888', 'cg02994588', 'cg02641560', 'cg24367431', 'cg24446923', 'cg06718763', 'cg00591489', 'cg15458504'}
RCAN3	class2	16	{'cg16905527', 'cg02671019', 'cg00311307', 'cg15519096', 'cg23281714', 'cg17854320', 'cg20146241', 'cg01768001', 'cg01519464', 'cg18128887', 'cg26692749', 'cg02850329', 'cg00917251', 'cg00716040', 'cg16731157', 'cg25140783'}
EFCAB2	class1	5	{'cg15677368', 'cg23260484', 'cg08529295', 'cg05210886', 'cg16678437'}
EFCAB2	class2	23	{'cg14038339', 'cg21454516', 'cg09481970', 'cg17094624', 'cg03889876', 'cg05128437', 'cg21396127', 'cg27430402', 'cg04074557', 'cg12398903', 'cg13371870', 'cg17452249', 'cg05790237', 'cg24524470', 'cg16965576', 'cg21307723', 'cg13093989', 'cg13600007', 'cg00317754', 'cg10235018', 'cg05939928', 'cg07556103', 'cg06958636'}
RLF	class1	5	{'cg20828955', 'cg03828076', 'cg16518825', 'cg20929609', 'cg18646240'}
RLF	class2	13	{'cg00321065', 'cg01101221', 'cg04998419', 'cg09955859', 'cg01771444', 'cg01918888', 'cg17853006', 'cg16524762', 'cg24724503', 'cg08707192', 'cg06441968', 'cg18348226', 'cg16989837'}
SPEN	class1	5	{'cg10274502', 'cg23628968', 'cg13936856', 'cg19235966', 'cg18813148'}
SPEN	class2	40	{'cg04188086', 'cg07180355', 'cg09023627', 'cg12056000', 'cg14793291', 'cg15135704', 'cg20806712', 'cg15500658', 'cg17246606', 'cg16133964', 'cg26059919', 'cg04438595', 'cg06526137', 'cg05803741', 'cg26058971', 'cg10145941', 'cg19643665', 'cg00321867', 'cg24085606', 'cg26039954', 'cg18370318', 'cg23216498', 'cg03260139', 'cg03646788', 'cg01522970', 'cg09178529', 'cg06813597', 'cg19826697', 'cg21288345', 'cg23803874', 'cg05653691', 'cg08892464', 'cg14841628', 'cg08653403', 'cg09754868', 'cg09826002', 'cg16907344', 'cg19030875', 'cg04841955', 'cg04549703'}
DRAM2	class1	6	{'cg27234129', 'cg26420185', 'cg08818525', 'cg00718333', 'cg16164356', 'cg13400003'}
DRAM2	class2	15	{'cg23677363', 'cg25028206', 'cg06875189', 'cg00321911', 'cg10025945', 'cg23874078', 'cg16249375', 'cg19256717', 'cg22780428', 'cg21787620', 'cg14833747', 'cg06173682', 'cg08139098', 'cg24927001', 'cg13904508'}
ELAVL4	class1	5	{'cg06124579', 'cg22932804', 'cg24518017', 'cg13844820', 'cg25217583'}
ELAVL4	class2	20	{'cg18242139', 'cg00322486', 'cg08538032', 'cg18202449', 'cg10803321', 'cg26888153', 'cg26301690', 'cg13909533', 'cg15322801', 'cg11404544', 'cg02623400', 'cg26227005', 'cg01511557', 'cg05697849', 'cg00963169', 'cg13678973', 'cg22791535', 'cg10989897', 'cg19098763', 'cg08106706'}
EPHB2	class1	5	{'cg00937518', 'cg16002659', 'cg01970575', 'cg00396230', 'cg14271400'}
EPHB2	class2	41	{'cg13988448', 'cg00650762', 'cg26255052', 'cg09463984', 'cg02974898', 'cg04099056', 'cg22702922', 'cg23232832', 'cg08264906', 'cg12717584', 'cg26671246', 'cg20149170', 'cg18156963', 'cg12412627', 'cg00966078', 'cg05229416', 'cg27573841', 'cg04914283', 'cg17276450', 'cg20297544', 'cg08859698', 'cg00831127', 'cg12046053', 'cg00323313', 'cg11248999', 'cg08539251', 'cg07952381', 'cg14787964', 'cg15447913', 'cg15639556', 'cg20138922', 'cg24368899', 'cg26554265', 'cg22931642', 'cg05340339', 'cg05228361', 'cg04233054', 'cg09136099', 'cg22089024', 'cg13378083', 'cg05266663'}
PLEKHN1	class1	6	{'cg14997037', 'cg03041482', 'cg00328058', 'cg25742326', 'cg11246447', 'cg15648958'}
PLEKHN1	class2	19	{'cg04865998', 'cg23207077', 'cg23596291', 'cg21832150', 'cg22381068', 'cg07390924', 'cg06818851', 'cg10110857', 'cg07195057', 'cg12536471', 'cg10375192', 'cg06324192', 'cg23956473', 'cg12663811', 'cg24076968', 'cg16352072', 'cg02056921', 'cg26679367', 'cg22481263'}
KLHL17	class1	5	{'cg16993975', 'cg04485075', 'cg19923810', 'cg25096313', 'cg16389252'}
KLHL17	class2	21	{'cg17505193', 'cg26866020', 'cg04359978', 'cg22114309', 'cg01930745', 'cg07236207', 'cg13802035', 'cg15648958', 'cg10644916', 'cg11084308', 'cg14997037', 'cg00328058', 'cg09789536', 'cg11246447', 'cg03148373', 'cg07582955', 'cg16968662', 'cg03041482', 'cg11132698', 'cg07696918', 'cg14831166'}
C1orf59	class1	7	{'cg21144922', 'cg23680821', 'cg16041286', 'cg27587125', 'cg06846186', 'cg00328227', 'cg24737783'}
C1orf59	class2	5	{'cg11947712', 'cg21689075', 'cg24511685', 'cg12100751', 'cg08460435'}
ACTN2	class1	6	{'cg06177278', 'cg10014470', 'cg15109151', 'cg10372476', 'cg16853982', 'cg06968741'}
ACTN2	class2	29	{'cg04138198', 'cg11197458', 'cg18412431', 'cg17482237', 'cg22360317', 'cg02659402', 'cg18770350', 'cg21376883', 'cg10228323', 'cg00328597', 'cg18119735', 'cg12297935', 'cg20282303', 'cg10819259', 'cg17513477', 'cg20410675', 'cg07135408', 'cg17219656', 'cg23227149', 'cg23109559', 'cg11215976', 'cg18381395', 'cg14932016', 'cg26406150', 'cg09932312', 'cg20482698', 'cg15578091', 'cg07504040', 'cg23233975'}
CTPS	class1	5	{'cg01002622', 'cg09801607', 'cg10122267', 'cg15043057', 'cg17045772'}
CTPS	class2	15	{'cg09256082', 'cg06083001', 'cg13808663', 'cg02668729', 'cg19092368', 'cg26272893', 'cg08114812', 'cg24669728', 'cg26433208', 'cg00328724', 'cg22224597', 'cg24141382', 'cg13173898', 'cg14852486', 'cg05705964'}
NADK	class1	9	{'cg17266431', 'cg02297801', 'cg00997530', 'cg09932345', 'cg00328972', 'cg10388316', 'cg26421735', 'cg04407228', 'cg02280859'}
NADK	class2	39	{'cg15578948', 'cg05152432', 'cg23159992', 'cg09182189', 'cg03606098', 'cg05983502', 'cg00343906', 'cg14027380', 'cg14778560', 'cg17157064', 'cg26342907', 'cg15824543', 'cg12406875', 'cg09185911', 'cg24086442', 'cg25031205', 'cg12552303', 'cg11725331', 'cg08937102', 'cg10317445', 'cg21580588', 'cg10543797', 'cg11163532', 'cg22442180', 'cg08122070', 'cg04439557', 'cg15260978', 'cg00992048', 'cg18947110', 'cg03386811', 'cg14018698', 'cg17282211', 'cg09233730', 'cg18763089', 'cg21692735', 'cg22707691', 'cg06964353', 'cg00423114', 'cg06219660'}
TSTD1	class1	5	{'cg07883333', 'cg22110569', 'cg07967677', 'cg13458210', 'cg13914024'}
TSTD1	class2	11	{'cg27180868', 'cg00329300', 'cg00446235', 'cg12898512', 'cg11731300', 'cg13906823', 'cg12426196', 'cg11578532', 'cg24161057', 'cg24411043', 'cg13466383'}
BMP8A	class1	6	{'cg04287168', 'cg19494946', 'cg09232440', 'cg04923576', 'cg27567593', 'cg17685111'}
BMP8A	class2	26	{'cg03664992', 'cg15475427', 'cg13806070', 'cg09547767', 'cg19923532', 'cg23998414', 'cg08748615', 'cg10715272', 'cg20140662', 'cg12042787', 'cg15947940', 'cg14415733', 'cg01534765', 'cg26548351', 'cg11763509', 'cg27332575', 'cg20489289', 'cg00330318', 'cg10057098', 'cg10523966', 'cg04571984', 'cg02575697', 'cg25139493', 'cg16651196', 'cg22158252', 'cg25595442'}
SKI	class1	7	{'cg11155915', 'cg17422926', 'cg07333862', 'cg27536187', 'cg11257240', 'cg06382459', 'cg13400516'}
SKI	class2	138	{'cg11519710', 'cg08640824', 'cg01428928', 'cg15700006', 'cg26880297', 'cg08032228', 'cg00390654', 'cg06644452', 'cg15564619', 'cg05156582', 'cg24481594', 'cg16560209', 'cg02050917', 'cg16315417', 'cg09469355', 'cg04934870', 'cg26033908', 'cg12222277', 'cg00618291', 'cg07842023', 'cg01881525', 'cg25314600', 'cg12611488', 'cg15007228', 'cg05948763', 'cg20144521', 'cg16417118', 'cg13727629', 'cg05788548', 'cg05052194', 'cg02360367', 'cg24740515', 'cg08884752', 'cg06736312', 'cg12483545', 'cg02058628', 'cg11191979', 'cg05814106', 'cg22940848', 'cg08703055', 'cg01938025', 'cg24377150', 'cg00502932', 'cg20168901', 'cg18235167', 'cg26332488', 'cg09806683', 'cg16575461', 'cg21405929', 'cg08730743', 'cg11205589', 'cg21442419', 'cg25772076', 'cg01787285', 'cg25139649', 'cg08270567', 'cg21414505', 'cg12473697', 'cg18947016', 'cg15979171', 'cg01101178', 'cg16382314', 'cg21775570', 'cg26264656', 'cg01852476', 'cg06521970', 'cg12552820', 'cg26017930', 'cg04293353', 'cg26605914', 'cg01628067', 'cg08271229', 'cg00715290', 'cg10982378', 'cg01979157', 'cg00954996', 'cg19025786', 'cg03651199', 'cg03042633', 'cg06815887', 'cg09888283', 'cg09442556', 'cg13099829', 'cg17325476', 'cg03631837', 'cg06087623', 'cg07842327', 'cg17810602', 'cg01949002', 'cg23645210', 'cg19404444', 'cg07425568', 'cg17165158', 'cg22166144', 'cg21194808', 'cg11224984', 'cg21404476', 'cg00330518', 'cg16704920', 'cg06875179', 'cg10397932', 'cg04619852', 'cg01916743', 'cg19770723', 'cg08863830', 'cg18934822', 'cg02737619', 'cg17854510', 'cg12580943', 'cg09807746', 'cg24001314', 'cg16902087', 'cg24579224', 'cg07574267', 'cg19253339', 'cg07114422', 'cg01606029', 'cg09556700', 'cg02768912', 'cg17183215', 'cg05603985', 'cg17942763', 'cg26566407', 'cg19757330', 'cg01445240', 'cg05937603', 'cg23022809', 'cg15935121', 'cg03937764', 'cg13488570', 'cg08468599', 'cg16175479', 'cg16663073', 'cg07593521', 'cg15132013', 'cg03466562', 'cg08942499', 'cg23015118'}
CAPN2	class1	5	{'cg09575442', 'cg19314866', 'cg20266715', 'cg20686176', 'cg00792251'}
CAPN2	class2	37	{'cg05761882', 'cg00779797', 'cg07395969', 'cg21167643', 'cg22428691', 'cg00339319', 'cg19318393', 'cg18224445', 'cg08439122', 'cg13984169', 'cg10100437', 'cg19598416', 'cg02923485', 'cg12129117', 'cg24150051', 'cg18310639', 'cg06740995', 'cg01566170', 'cg13574099', 'cg17470627', 'cg26221105', 'cg23440816', 'cg25344376', 'cg07629844', 'cg15033552', 'cg22697825', 'cg06756211', 'cg13573980', 'cg07181406', 'cg14972271', 'cg21617516', 'cg14178043', 'cg05228802', 'cg13195218', 'cg19029214', 'cg24047802', 'cg19939503'}
TARBP1	class1	5	{'cg11137277', 'cg00339356', 'cg10780718', 'cg03802191', 'cg24640065'}
TARBP1	class2	13	{'cg04273604', 'cg24332347', 'cg20296524', 'cg03001875', 'cg08479688', 'cg11791613', 'cg06509661', 'cg12297350', 'cg02838825', 'cg22398808', 'cg26611067', 'cg11029501', 'cg17707347'}
ZNF496	class1	6	{'cg04020309', 'cg01184522', 'cg13911707', 'cg01846776', 'cg11684022', 'cg24404823'}
ZNF496	class2	19	{'cg23986385', 'cg11249333', 'cg00340138', 'cg26396086', 'cg03734302', 'cg10531737', 'cg22367492', 'cg12753558', 'cg03864005', 'cg23616126', 'cg15416681', 'cg22704608', 'cg16491046', 'cg12133425', 'cg12655059', 'cg04364251', 'cg03109229', 'cg11164537', 'cg25061864'}
PRKACB	class1	5	{'cg07161166', 'cg24603152', 'cg05787193', 'cg06628693', 'cg24328884'}
PRKACB	class2	7	{'cg23052793', 'cg23698058', 'cg09664975', 'cg16374471', 'cg15704369', 'cg00341980', 'cg06444730'}
FAM19A3	class1	5	{'cg16716189', 'cg15070208', 'cg02922094', 'cg26190476', 'cg23746359'}
FAM19A3	class2	10	{'cg07023459', 'cg10834677', 'cg05243438', 'cg10806711', 'cg19675955', 'cg09126636', 'cg03918071', 'cg16255156', 'cg00342891', 'cg21286782'}
NMNAT2	class1	7	{'cg05380885', 'cg18116641', 'cg03770703', 'cg22021022', 'cg16373880', 'cg15977933', 'cg17812839'}
NMNAT2	class2	27	{'cg08244866', 'cg15135093', 'cg19755016', 'cg26916166', 'cg15378492', 'cg07212848', 'cg00707317', 'cg05262549', 'cg23993890', 'cg16183361', 'cg25303462', 'cg23716800', 'cg22532003', 'cg13101705', 'cg18865949', 'cg27588653', 'cg15987885', 'cg22513924', 'cg11824191', 'cg10202457', 'cg12738164', 'cg13843938', 'cg00767642', 'cg19518845', 'cg00344178', 'cg11241436', 'cg16263152'}
AJAP1	class1	5	{'cg12475759', 'cg17741689', 'cg15484532', 'cg20959866', 'cg13495205'}
AJAP1	class2	71	{'cg21267167', 'cg21386545', 'cg24639469', 'cg12065138', 'cg17525406', 'cg24694502', 'cg26353694', 'cg13931996', 'cg15198793', 'cg11926510', 'cg21159274', 'cg03124858', 'cg06929152', 'cg11835068', 'cg00345083', 'cg00562969', 'cg15580684', 'cg15549700', 'cg11380667', 'cg20624157', 'cg04110918', 'cg14218042', 'cg23015920', 'cg12665669', 'cg13503382', 'cg00504341', 'cg01418817', 'cg22687211', 'cg00979527', 'cg13056990', 'cg24350011', 'cg02482718', 'cg22025570', 'cg16386806', 'cg11791914', 'cg26435172', 'cg25552937', 'cg04027805', 'cg05139761', 'cg26599630', 'cg16563230', 'cg25198584', 'cg13480658', 'cg08159291', 'cg02771577', 'cg27181471', 'cg00859330', 'cg04292104', 'cg00692462', 'cg00535618', 'cg12058478', 'cg12631713', 'cg06966242', 'cg11735846', 'cg16360868', 'cg02483484', 'cg19760464', 'cg24019371', 'cg10400362', 'cg21913897', 'cg09175749', 'cg10222674', 'cg26525076', 'cg22367872', 'cg26662102', 'cg18395150', 'cg26231761', 'cg02837536', 'cg24525286', 'cg15605704', 'cg02411275'}
C1orf31	class1	6	{'cg25276149', 'cg24557133', 'cg17012079', 'cg13116840', 'cg00461735', 'cg01364423'}
C1orf31	class2	11	{'cg20871243', 'cg08440086', 'cg00383290', 'cg00346236', 'cg12140468', 'cg19247360', 'cg19368701', 'cg13224999', 'cg15439418', 'cg08166961', 'cg03034864'}
TSNAX-DISC1	class1	5	{'cg26565807', 'cg03036575', 'cg26340700', 'cg00906976', 'cg23162821'}
TSNAX-DISC1	class2	57	{'cg09008891', 'cg10225523', 'cg14193765', 'cg07187233', 'cg16616325', 'cg24430578', 'cg27584828', 'cg13782866', 'cg05812666', 'cg15120220', 'cg01447498', 'cg04250837', 'cg16177633', 'cg05656812', 'cg04077695', 'cg04910228', 'cg16316407', 'cg12898694', 'cg18565479', 'cg11246731', 'cg21644111', 'cg05798633', 'cg24073755', 'cg10122294', 'cg05065177', 'cg16044919', 'cg13107696', 'cg15157974', 'cg15704743', 'cg25979244', 'cg09895514', 'cg04892437', 'cg10821976', 'cg18766882', 'cg03013754', 'cg25203627', 'cg10116456', 'cg25744181', 'cg04792727', 'cg14033614', 'cg09186051', 'cg10210571', 'cg16178998', 'cg10483534', 'cg24196814', 'cg07134368', 'cg22367981', 'cg24499839', 'cg23209941', 'cg23172853', 'cg08458637', 'cg23050705', 'cg12751277', 'cg21109666', 'cg00346898', 'cg16366945', 'cg06756369'}
UROD	class1	7	{'cg24119085', 'cg27088716', 'cg08425065', 'cg22920538', 'cg23888281', 'cg19753255', 'cg10325398'}
UROD	class2	7	{'cg00352397', 'cg16613192', 'cg00347280', 'cg20599096', 'cg06206218', 'cg24144893', 'cg21648040'}
MGST3	class1	6	{'cg16553119', 'cg06961122', 'cg00348771', 'cg09330427', 'cg27477594', 'cg19407955'}
MGST3	class2	8	{'cg09553581', 'cg03919875', 'cg05129412', 'cg03740640', 'cg01468717', 'cg22165507', 'cg15622113', 'cg12044785'}
SLC30A2	class1	6	{'cg07766612', 'cg19895786', 'cg18303360', 'cg03987192', 'cg00703260', 'cg10501085'}
SLC30A2	class2	8	{'cg05674944', 'cg19304093', 'cg02924562', 'cg01689405', 'cg21957156', 'cg02397727', 'cg12742826', 'cg00349061'}
PLD5	class1	5	{'cg12613383', 'cg08659667', 'cg18789663', 'cg04205107', 'cg22679728'}
PLD5	class2	22	{'cg23840812', 'cg02567839', 'cg18220921', 'ch.1.4819933F', 'cg07977614', 'cg19719547', 'cg12402831', 'cg11726474', 'cg00349573', 'cg12636785', 'cg20308540', 'cg18181201', 'cg03002586', 'ch.1.4829111R', 'cg18190310', 'cg23213872', 'cg00812833', 'cg07137606', 'cg01664666', 'cg17150265', 'cg03216635', 'cg19205994'}
MACF1	class1	5	{'cg09790512', 'cg00426822', 'cg00349607', 'cg22233974', 'cg00503866'}
MACF1	class2	84	{'cg05354330', 'cg12735263', 'cg17879450', 'cg18794145', 'cg06380157', 'cg05800561', 'ch.1.1248405R', 'cg11070191', 'cg19812272', 'cg08480461', 'cg18385671', 'cg07959576', 'cg09019648', 'cg20286956', 'cg08876103', 'cg07554759', 'cg19913559', 'cg08456420', 'cg08944940', 'cg22718540', 'cg08238444', 'ch.1.1254155F', 'cg14018543', 'cg10316899', 'cg26349672', 'cg19589131', 'cg21808448', 'cg23889117', 'cg04000234', 'cg04981338', 'ch.1.1248481R', 'cg11786946', 'cg08259526', 'cg09230154', 'cg22174844', 'cg22697325', 'ch.1.1249065F', 'cg04234190', 'cg19856520', 'cg14713026', 'cg24159575', 'cg08943107', 'cg20781438', 'cg17431079', 'cg08470244', 'cg18154117', 'ch.1.1254747R', 'cg02636814', 'cg06115679', 'cg10198749', 'cg18155359', 'cg14893456', 'cg23108607', 'cg08664568', 'cg15522353', 'cg22367631', 'cg15158106', 'cg26864766', 'cg03518138', 'cg05957749', 'cg05671762', 'cg27292099', 'cg01460360', 'cg13450310', 'cg26251909', 'cg11676353', 'cg09791673', 'cg24370375', 'cg17074958', 'cg13514129', 'cg22080061', 'cg01634153', 'cg07570723', 'cg24342696', 'cg00352106', 'cg22603393', 'cg18647268', 'cg21143197', 'cg26906273', 'cg06895953', 'cg14082530', 'cg00790970', 'cg10632917', 'cg04563215'}
SMYD3	class1	8	{'cg20609679', 'cg16046505', 'cg10055505', 'cg07397891', 'cg09413723', 'cg18171512', 'cg01396391', 'cg03988952'}
SMYD3	class2	87	{'cg23640328', 'cg10221719', 'cg18311466', 'cg20287936', 'cg24160572', 'cg24040576', 'cg05719392', 'cg01002508', 'cg13058734', 'cg14211117', 'cg09176199', 'cg04134399', 'cg13678787', 'cg09475815', 'cg20000326', 'cg19403101', 'cg19805863', 'cg03045478', 'cg00969251', 'cg08106377', 'cg27506377', 'cg07311631', 'cg17971290', 'cg18121962', 'cg22673688', 'cg09278904', 'cg23610994', 'cg25025181', 'cg24639535', 'cg15831875', 'cg08922179', 'cg04977376', 'cg04214370', 'cg04798314', 'cg04108811', 'cg23620047', 'cg20996887', 'cg15962031', 'cg16652841', 'cg04891165', 'cg22626897', 'cg11071687', 'cg24506394', 'cg02848835', 'cg06985779', 'cg15505349', 'cg25199005', 'cg13977623', 'cg12607106', 'cg11190354', 'cg09936248', 'cg18144885', 'cg12139096', 'cg23589927', 'cg09016610', 'cg02302795', 'cg04944491', 'cg20280672', 'cg05939105', 'cg24589017', 'cg22019569', 'cg01072807', 'cg15324865', 'cg22024479', 'cg02415020', 'cg11798871', 'cg21645075', 'cg21119962', 'cg00351750', 'cg03435735', 'cg05345152', 'cg16110314', 'cg27177236', 'cg26256431', 'cg06999043', 'cg16038219', 'cg02182127', 'cg04874825', 'cg16596470', 'cg01815906', 'cg23801396', 'cg14257360', 'cg12461735', 'cg06079347', 'cg08887025', 'cg12648193', 'cg20597172'}
KIAA1614	class1	6	{'cg01022200', 'cg04578935', 'cg23056823', 'cg07730364', 'cg23217419', 'cg00354179'}
KIAA1614	class2	18	{'cg06692785', 'cg06949778', 'cg01391650', 'cg02156380', 'cg00864916', 'cg01943447', 'cg17021487', 'cg23632906', 'cg05638165', 'cg11143671', 'cg04276005', 'cg12604950', 'cg06986584', 'cg02863087', 'cg13861536', 'cg07119106', 'cg15198193', 'cg19708901'}
SSU72	class1	5	{'cg06199750', 'cg08271362', 'cg03528848', 'cg20755353', 'cg05433637'}
SSU72	class2	48	{'cg09517190', 'cg19158176', 'cg14442715', 'cg20490900', 'cg00784654', 'cg16305094', 'cg19619320', 'cg04126957', 'cg18368516', 'cg22373622', 'cg07229301', 'cg01058717', 'cg13431342', 'cg07381470', 'cg21173317', 'cg26221637', 'cg09073059', 'cg17968925', 'cg26908276', 'cg08464374', 'cg03392564', 'cg07426077', 'cg12690016', 'cg01802295', 'cg20140735', 'cg09828226', 'cg12062537', 'cg12734710', 'cg07090025', 'cg00355315', 'cg13575252', 'cg05181565', 'cg10987926', 'cg18312113', 'cg08140609', 'cg24470133', 'cg07211239', 'cg00955674', 'cg11586519', 'cg26690297', 'cg06089960', 'cg25018209', 'cg03941625', 'cg13424097', 'cg16277776', 'cg24044259', 'cg19910128', 'cg11964810'}
WNT4	class1	5	{'cg13543375', 'cg21297673', 'cg25011003', 'cg15582954', 'cg07180649'}
WNT4	class2	23	{'cg17022577', 'cg02839875', 'cg04562522', 'cg08504468', 'cg12098183', 'cg03133269', 'cg10835795', 'cg23109424', 'cg00356045', 'cg03259874', 'cg18888652', 'cg26924480', 'cg10606730', 'cg06398244', 'cg01781529', 'cg06962421', 'cg20792512', 'cg03519931', 'cg11837690', 'cg05600023', 'cg19403005', 'cg09180977', 'cg09938164'}
ZNF672	class1	6	{'cg09685528', 'cg20149956', 'cg19625216', 'cg16126747', 'cg09397375', 'cg16479674'}
ZNF672	class2	19	{'cg07819756', 'cg23611233', 'cg24334803', 'cg13132716', 'cg18190547', 'cg14931645', 'cg12657014', 'cg24116222', 'cg16703466', 'cg08026416', 'cg06947752', 'cg07591937', 'cg02016753', 'cg20781835', 'cg04071948', 'cg08516035', 'cg21462097', 'cg21149260', 'cg00358451'}
SNX27	class1	5	{'cg00387445', 'cg00368415', 'cg13402217', 'cg24926775', 'cg17148978'}
SNX27	class2	17	{'cg02087985', 'cg08712669', 'cg22682031', 'cg26852651', 'cg09059070', 'cg10092158', 'cg26571535', 'cg00778544', 'cg04623088', 'cg16108964', 'cg16815330', 'cg16269755', 'cg13625205', 'cg02978142', 'cg23609082', 'cg25202261', 'cg23260635'}
ARID1A	class1	7	{'cg25601319', 'cg21294655', 'cg04360147', 'cg14851949', 'cg04081153', 'cg17385674', 'cg24542126'}
ARID1A	class2	22	{'cg24544309', 'cg05445839', 'cg19242583', 'cg03123091', 'cg05649922', 'cg18973247', 'cg15050577', 'cg11856093', 'cg09849688', 'cg21454760', 'cg20385686', 'ch.1.893309F', 'ch.1.893623F', 'cg05300440', 'cg22042546', 'cg20413923', 'cg00371107', 'cg23721345', 'cg13867915', 'cg16701767', 'cg12136895', 'cg05307957'}
KIF17	class1	6	{'cg05129477', 'cg01054622', 'cg22527425', 'cg23677039', 'cg18486150', 'cg05356564'}
KIF17	class2	26	{'cg07105891', 'cg26063862', 'cg03626238', 'cg12459000', 'cg15613048', 'cg04423622', 'cg00373020', 'cg27312359', 'cg18878886', 'cg21184320', 'cg08248330', 'cg09793172', 'cg03432774', 'cg07158961', 'cg10530135', 'cg20001666', 'cg03888765', 'cg14035553', 'cg16558994', 'cg02097443', 'cg07246798', 'cg04123845', 'cg08890418', 'cg24730688', 'cg18191259', 'cg05653329'}
WNT9A	class1	6	{'cg05183226', 'cg07021033', 'cg06641299', 'cg23231462', 'cg11647690', 'cg26146562'}
WNT9A	class2	23	{'cg26452081', 'cg13397345', 'cg27570354', 'cg26682608', 'cg06268632', 'cg01428095', 'cg21859455', 'cg14418175', 'cg24312489', 'cg14343890', 'cg10236987', 'cg23098305', 'cg00385761', 'cg04546165', 'cg25940008', 'cg23956119', 'cg02295872', 'cg24610866', 'cg17786864', 'cg17180977', 'cg04347016', 'cg22525281', 'cg14041264'}
MAN1A2	class1	5	{'cg22947679', 'cg18389062', 'cg03140827', 'cg06985534', 'cg20383390'}
MAN1A2	class2	9	{'cg26361671', 'cg22223232', 'cg15159625', 'cg23828212', 'cg11819305', 'cg00385906', 'cg09900084', 'cg04725433', 'cg16430099'}
EFNA4	class1	7	{'cg10062530', 'cg16905506', 'cg18832152', 'cg13069100', 'cg11491247', 'cg00585901', 'cg15141467'}
EFNA4	class2	11	{'cg23008177', 'cg15843385', 'cg05267543', 'cg14605134', 'cg19811864', 'cg20330021', 'cg23647530', 'cg00386338', 'cg08664617', 'cg20140173', 'cg06379403'}
CLCN6	class1	6	{'cg27012203', 'cg01134491', 'cg01226883', 'cg05265975', 'cg05228408', 'cg08869383'}
